alpha,n,result
0.75,0,1
0.75,1,1
0.75,2,1
0.75,3,1
0.75,4,1
0.75,5,1
0.75,6,1
0.75,7,1
0.75,8,1
0.75,9,1
0.75,10,1
0.75,11,1
0.75,12,1
0.75,13,1
0.75,14,1
0.75,15,1
0.75,16,1
0.75,17,1
0.75,18,1
0.75,19,1
0.75,20,1
0.75,21,1
0.75,22,1
0.75,23,1
0.75,24,1
0.75,25,1
0.75,26,1
0.75,27,1
0.75,28,1
0.75,29,1
0.75,30,1
0.75,31,1
0.75,32,1
0.75,33,1
0.75,34,1
0.75,35,1
0.75,36,1
0.75,37,1
0.75,38,1
0.75,39,1
0.75,40,1
0.75,41,1
0.75,42,1
0.75,43,1
0.75,44,1
0.75,45,1
0.75,46,1
0.75,47,1
0.75,48,1
0.75,49,1
0.75,50,1
0.75,51,1
0.75,52,1
0.75,53,1
0.75,54,1
0.75,55,1
0.75,56,1
0.75,57,1
0.75,58,1
0.75,59,1
0.75,60,1
0.75,61,1
0.75,62,1
0.75,63,1
0.75,64,1
0.75,65,1
0.75,66,1
0.75,67,1
0.75,68,1
0.75,69,1
0.75,70,1
0.75,71,1
0.75,72,1
0.75,73,1
0.75,74,1
0.75,75,1
0.75,76,1
0.75,77,1
0.75,78,1
0.75,79,1
0.75,80,1
0.75,81,1
0.75,82,1
0.75,83,1
0.75,84,1
0.75,85,1
0.75,86,1
0.75,87,1
0.75,88,1
0.75,89,1
0.75,90,1
0.75,91,1
0.75,92,1
0.75,93,1
0.75,94,1
0.75,95,1
0.75,96,1
0.75,97,1
0.75,98,1
0.75,99,1
0.75,100,1
0.75,101,1
0.75,102,1
0.75,103,1
0.75,104,1
0.75,105,1
0.75,106,1
0.75,107,1
0.75,108,1
0.75,109,1
0.75,110,1
0.75,111,1
0.75,112,1
0.75,113,1
0.75,114,1
0.75,115,1
0.75,116,1
0.75,117,1
0.75,118,1
0.75,119,1
0.75,120,1
0.75,121,1
0.75,122,1
0.75,123,1
0.75,124,1
0.75,125,1
0.75,126,1
0.75,127,1
0.75,128,1
0.75,129,1
0.75,130,1
0.75,131,1
0.75,132,1
0.75,133,1
0.75,134,1
0.75,135,1
0.75,136,1
0.75,137,1
0.75,138,1
0.75,139,1
0.75,140,1
0.75,141,1
0.75,142,1
0.75,143,1
0.75,144,1
0.75,145,1
0.75,146,1
0.75,147,1
0.75,148,1
0.75,149,1
0.75,150,1
0.75,151,1
0.75,152,1
0.75,153,1
0.75,154,1
0.75,155,1
0.75,156,1
0.75,157,1
0.75,158,1
0.75,159,1
0.75,160,1
0.75,161,1
0.75,162,1
0.75,163,1
0.75,164,1
0.75,165,1
0.75,166,1
0.75,167,1
0.75,168,1
0.75,169,1
0.75,170,1
0.75,171,1
0.75,172,1
0.75,173,1
0.75,174,1
0.75,175,1
0.75,176,1
0.75,177,1
0.75,178,1
0.75,179,1
0.75,180,1
0.75,181,1
0.75,182,1
0.75,183,1
0.75,184,1
0.75,185,1
0.75,186,1
0.75,187,1
0.75,188,1
0.75,189,1
0.75,190,1
0.75,191,1
0.75,192,1
0.75,193,1
0.75,194,1
0.75,195,1
0.75,196,1
0.75,197,1
0.75,198,1
0.75,199,1
0.8076923076923077,0,1
0.8076923076923077,1,1
0.8076923076923077,2,1
0.8076923076923077,3,1
0.8076923076923077,4,1
0.8076923076923077,5,1
0.8076923076923077,6,1
0.8076923076923077,7,1
0.8076923076923077,8,1
0.8076923076923077,9,1
0.8076923076923077,10,1
0.8076923076923077,11,1
0.8076923076923077,12,1
0.8076923076923077,13,1
0.8076923076923077,14,1
0.8076923076923077,15,1
0.8076923076923077,16,1
0.8076923076923077,17,1
0.8076923076923077,18,1
0.8076923076923077,19,1
0.8076923076923077,20,1
0.8076923076923077,21,1
0.8076923076923077,22,1
0.8076923076923077,23,1
0.8076923076923077,24,1
0.8076923076923077,25,1
0.8076923076923077,26,1
0.8076923076923077,27,1
0.8076923076923077,28,1
0.8076923076923077,29,1
0.8076923076923077,30,1
0.8076923076923077,31,1
0.8076923076923077,32,1
0.8076923076923077,33,1
0.8076923076923077,34,1
0.8076923076923077,35,1
0.8076923076923077,36,1
0.8076923076923077,37,1
0.8076923076923077,38,1
0.8076923076923077,39,1
0.8076923076923077,40,1
0.8076923076923077,41,1
0.8076923076923077,42,1
0.8076923076923077,43,1
0.8076923076923077,44,1
0.8076923076923077,45,1
0.8076923076923077,46,1
0.8076923076923077,47,1
0.8076923076923077,48,1
0.8076923076923077,49,1
0.8076923076923077,50,1
