N,P,alpha,epsilon
20,1,0.05,0.5
20,2,0.1,0.5
20,3,0.15,0.5
20,4,0.2,0.5
20,5,0.25,0.5
20,6,0.3,0.5
20,7,0.35,0.5
20,8,0.4,0.5
20,9,0.45,0.5
20,10,0.5,0.5
20,11,0.55,0.5
20,12,0.6,0.5
20,13,0.65,0.5
20,14,0.7,0.5
20,15,0.75,0.5
20,16,0.8,0.5
20,17,0.85,0.5
20,18,0.9,0.5
20,19,0.95,0.5
20,20,1.0,0.4999990463256836
20,21,1.05,0.499990463247741
20,22,1.1,0.49994993157315
20,23,1.15,0.49981640657598264
20,24,1.2,0.49947207198183763
20,25,1.25,0.49873230350391146
20,26,1.3,0.49735561335346273
20,27,1.35,0.49507597520243746
20,28,1.4,0.49164959053081714
20,29,1.45,0.4869010929213433
20,30,1.5,0.4807544895833184
20,31,1.55,0.47324113412717655
20,32,1.6,0.46448615469101845
20,33,1.65,0.45468120733511685
20,34,1.7,0.4440531207676376
20,35,1.75,0.4328359159721298
20,36,1.8,0.4212501195036772
20,37,1.85,0.4094901323293252
20,38,1.9,0.39771848274672317
20,39,1.95,0.38606504241694006
20,40,2.0,0.37462931238042074
20,41,2.05,0.36348427478285067
20,42,2.1,0.35268077418847626
20,43,2.15,0.3422517987723266
20,44,2.2,0.3322163311029936
20,45,2.25,0.3225826349337853
20,46,2.3,0.3133509610949458
20,47,2.35,0.3045157170238121
20,48,2.4,0.2960671710973616
20,49,2.45,0.28799276937828067
20,50,2.5,0.28027813824018194
20,51,2.55,0.2729078374463422
20,52,2.6,0.2658659179432772
20,53,2.65,0.2591363286313181
20,54,2.7,0.2527032074812271
20,55,2.75,0.24655108484258348
20,56,2.8,0.24066502062545822
20,57,2.85,0.23503069209434055
20,58,2.9,0.22963444511003064
20,59,2.95,0.22446331860632815
20,60,3.0,0.21950504972598073
20,61,3.05,0.21474806522102993
20,62,3.1,0.21018146332814996
20,63,3.15,0.2057949892646618
20,64,3.2,0.20157900668028877
20,65,3.25,0.1975244667844428
20,66,3.3,0.1936228764031257
20,67,3.35,0.18986626586807093
20,68,3.4,0.18624715737639025
20,69,3.45,0.18275853426092187
20,70,3.5,0.1793938114637894
20,71,3.55,0.17614680739623062
20,72,3.6,0.1730117172872696
20,73,3.65,0.16998308806522858
20,74,3.7,0.16705579477402024
20,75,3.75,0.16422501849653956
20,76,3.8,0.1614862257371616
20,77,3.85,0.1588351492019878
20,78,3.9,0.15626776990726282
20,79,3.95,0.1537803005419445
20,80,4.0,0.15136917000872008
20,81,4.05,0.14903100906803698
20,82,4.1,0.14676263701137404
20,83,4.15,0.14456104929257513
20,84,4.2,0.14242340604927275
20,85,4.25,0.1403470214500039
20,86,4.3,0.13832935380638067
20,87,4.35,0.13636799639349914
20,88,4.4,0.13446066892555497
20,89,4.45,0.13260520963732111
20,90,4.5,0.13079956792568725
20,91,4.55,0.12904179750883493
20,92,4.6,0.12733005006380912
20,93,4.65,0.12566256930624067
20,94,4.7,0.12403768547877103
20,95,4.75,0.12245381021733437
20,96,4.8,0.1209094317668702
20,97,4.85,0.11940311052027572
20,98,4.9,0.1179334748564756
20,99,4.95,0.11649921725539333
20,100,5.0,0.11509909066936537
20,101,5.05,0.11373190513215574
20,102,5.1,0.11239652458821627
20,103,5.15,0.11109186392620306
20,104,5.2,0.10981688620201609
20,105,5.25,0.10857060003778046
20,106,5.3,0.10735205718424709
20,107,5.35,0.10616035023506167
20,108,5.4,0.10499461048224312
20,109,5.45,0.10385400590303172
20,110,5.5,0.10273773926901911
20,111,5.55,0.10164504636916341
20,112,5.6,0.10057519433892703
20,113,5.65,0.09952748008835793
20,114,5.7,0.09850122882247145
20,115,5.75,0.09749579264778233
20,116,5.8,0.09651054925929022
20,117,5.85,0.09554490070263938
20,118,5.9,0.09459827220655699
20,119,5.95,0.09367011108102898
20,120,6.0,0.09275988567699762
20,121,6.05,0.09186708440366644
20,122,6.1,0.09099121479977448
20,123,6.15,0.09013180265545859
20,124,6.2,0.08928839118155764
20,125,6.25,0.08846054022343183
20,126,6.3,0.0876478255165708
20,127,6.35,0.08684983798145131
20,128,6.4,0.08606618305527754
20,129,6.45,0.08529648005839666
20,130,6.5,0.08454036159332981
20,131,6.55,0.08379747297449622
20,132,6.6,0.08306747168683432
20,133,6.65,0.08235002687164202
20,134,6.7,0.08164481883806732
20,135,6.75,0.08095153859878161
20,136,6.8,0.08026988742846254
20,137,6.85,0.07959957644380071
20,138,6.9,0.07894032620382564
