alpha,n,t,err
0.05,0,0,0.4554115300975226
0.05,1,0,0.4478502204912166
0.05,2,0,0.4435324144607953
0.05,3,0,0.3479061364086506
0.05,4,0,0.4415276056205296
0.05,5,0,0.33606567178386065
0.05,6,0,0.42907431831765336
0.05,7,0,0.4996836049065634
0.05,8,0,0.41346177402148876
0.05,9,0,0.46412263875022836
0.05,10,0,0.4650622810264432
0.05,11,0,0.47597120523548436
0.05,12,0,0.4893796102281917
0.05,13,0,0.4426573399356179
0.05,14,0,0.3695487071318955
0.05,15,0,0.43748229198002386
0.05,16,0,0.353812572426906
0.05,17,0,0.4815397274161132
0.05,18,0,0.41559437928513165
0.05,19,0,0.39138322393054137
0.15000000000000002,0,59,0.45778398172753254
0.15000000000000002,1,16,0.4166311506105822
0.15000000000000002,2,24999,0.3847600998886026
0.15000000000000002,3,10,0.3977755809044955
0.15000000000000002,4,24999,0.458844435252353
0.15000000000000002,5,26,0.3971298657074643
0.15000000000000002,6,24999,0.42621902645815474
0.15000000000000002,7,12,0.39225777013571955
0.15000000000000002,8,13,0.4158779388954665
0.15000000000000002,9,19,0.43917887444484205
0.15000000000000002,10,30,0.3533509277134442
0.15000000000000002,11,24999,0.4697818168661856
0.15000000000000002,12,18,0.39162301116424525
0.15000000000000002,13,24999,0.3637429505644575
0.15000000000000002,14,26,0.43055878911969586
0.15000000000000002,15,16,0.4071041847750455
0.15000000000000002,16,32,0.38580322428336716
0.15000000000000002,17,24999,0.42200034580029305
0.15000000000000002,18,73,0.4078298037016842
0.15000000000000002,19,28,0.3850360529475735
0.25000000000000006,0,281,0.39334209826992617
0.25000000000000006,1,74,0.41128050098529106
0.25000000000000006,2,44,0.3126895570066039
0.25000000000000006,3,157,0.3309430855993963
0.25000000000000006,4,137,0.3577236190470307
0.25000000000000006,5,24999,0.38888445066087773
0.25000000000000006,6,24999,0.39144970886470704
0.25000000000000006,7,24999,0.3750083172403935
0.25000000000000006,8,18,0.36444664242034136
0.25000000000000006,9,24999,0.37638453603518063
0.25000000000000006,10,24999,0.3602119409313876
0.25000000000000006,11,27,0.39186627897632115
0.25000000000000006,12,87,0.3354643266069927
0.25000000000000006,13,109,0.3703585077033334
0.25000000000000006,14,43,0.3584090534693744
0.25000000000000006,15,16,0.3802889551936554
0.25000000000000006,16,21,0.3171860855338275
0.25000000000000006,17,29,0.3202933396423837
0.25000000000000006,18,24999,0.3462376850685644
0.25000000000000006,19,24999,0.37816386034425886
0.35000000000000003,0,24999,0.3635707670138114
0.35000000000000003,1,24999,0.3693056673776477
0.35000000000000003,2,24999,0.3154237455183679
0.35000000000000003,3,24999,0.408659534732255
0.35000000000000003,4,24999,0.35544458022961134
0.35000000000000003,5,33,0.32183129898636353
0.35000000000000003,6,330,0.34579167223727086
0.35000000000000003,7,297,0.406854318260371
0.35000000000000003,8,24999,0.41472215828720227
0.35000000000000003,9,199,0.3570914253410531
0.35000000000000003,10,24999,0.3201789278898004
0.35000000000000003,11,24999,0.3035538663080439
0.35000000000000003,12,198,0.35849000728709624
0.35000000000000003,13,125,0.3296340326937867
0.35000000000000003,14,53,0.37423201659823263
0.35000000000000003,15,27,0.35454181725101913
0.35000000000000003,16,341,0.3165674990361813
0.35000000000000003,17,24999,0.3903350466829444
0.35000000000000003,18,24999,0.35260002101291876
0.35000000000000003,19,67,0.31115694169534036
0.45000000000000007,0,24999,0.4168676597456596
0.45000000000000007,1,24999,0.33654519369434605
0.45000000000000007,2,24999,0.34862764147684344
0.45000000000000007,3,24999,0.4228813661160376
