P,Q,t,eta,E,E_test
2000,200,0,0.05,0.5601922764045225,0.6358678121116269
2000,200,50,0.05,0.33630749051705283,0.3034894215936039
2000,200,100,0.05,0.1960047523579683,0.2246612369544801
2000,200,150,0.05,0.23398088822802032,0.23411053580244454
2000,200,200,0.05,0.15762969663277032,0.16766745974342023
2000,200,250,0.05,0.11554452141271018,0.12113944624987852
2000,200,300,0.05,0.06854783255417746,0.06736154273586151
2000,200,350,0.05,0.06440570537491569,0.062341203801268195
2000,200,400,0.05,0.0578454048670082,0.055949920557963495
2000,200,450,0.05,0.054489866984230695,0.05340104561085509
2000,200,500,0.05,0.04810890649312133,0.04865649758509563
2000,200,550,0.05,0.042599233759034266,0.044550047918670586
2000,200,600,0.05,0.039994056082165774,0.04228947553942644
2000,200,650,0.05,0.03854522407714848,0.041255583097193585
2000,200,700,0.05,0.03786053169137941,0.04203930482724374
2000,200,750,0.05,0.03643630243074712,0.041325908842928374
2000,200,800,0.05,0.03497660323851432,0.039856982009524734
2000,200,850,0.05,0.03312478576342525,0.038114281911115516
2000,200,900,0.05,0.03252611064875156,0.03733715966663725
2000,200,950,0.05,0.03196811926482726,0.03783492136563429
2000,200,1000,0.05,0.031447470423449315,0.03780441946750421
2000,200,1050,0.05,0.030747670334143638,0.03661815154908303
2000,200,1100,0.05,0.03058334373049296,0.03625228138963851
2000,200,1150,0.05,0.030250283726780524,0.0363436293107286
2000,200,1200,0.05,0.029199203623292903,0.03489275550225781
2000,200,1250,0.05,0.03110706062339022,0.03452992299708966
2000,200,1300,0.05,0.030538315075669658,0.034885835321885085
2000,200,1350,0.05,0.029924386348678677,0.034322410098333436
2000,200,1400,0.05,0.028044155230659742,0.03268331824520569
2000,200,1450,0.05,0.027265925536601947,0.03170567281877511
2000,200,1500,0.05,0.02703877410214623,0.03129140724724846
2000,200,1550,0.05,0.02665859921258617,0.030700329812523363
2000,200,1600,0.05,0.02638058022961992,0.030202829057900456
2000,200,1650,0.05,0.025953589030243994,0.029518412639669332
2000,200,1700,0.05,0.026267031286324686,0.029902966724713886
2000,200,1750,0.05,0.02625260318479858,0.029913800450513905
2000,200,1800,0.05,0.02646388568874361,0.03059794866153983
2000,200,1850,0.05,0.02640134951038507,0.030567981252198048
2000,200,1900,0.05,0.026124946804423163,0.030841338722670534
2000,200,1950,0.05,0.026191671613654457,0.03107736454487953
2000,200,2000,0.05,0.025494928049132337,0.028997375048638155
2000,200,2050,0.05,0.025396743185243067,0.02888888299672866
2000,200,2100,0.05,0.025507844725933492,0.028782273322535076
2000,200,2150,0.05,0.024870216838574107,0.027921402981331642
2000,200,2200,0.05,0.02486449289448883,0.02793253310060636
2000,200,2250,0.05,0.02442744067286657,0.027421507084847533
2000,200,2300,0.05,0.024026404064904132,0.02760342522344613
2000,200,2350,0.05,0.023966482228184167,0.027102561815908654
2000,200,2400,0.05,0.023965561973627616,0.02725001632152473
2000,200,2450,0.05,0.023732199039020026,0.02731605530193077
2000,200,2500,0.05,0.023603223650747393,0.027288668992905083
2000,200,2550,0.05,0.02348872531756714,0.027402910124675127
2000,200,2600,0.05,0.023549844023881997,0.028186921695663388
